id_CR,doc,mention_id,Longueur,nature_premier_maillon,FS_premier_maillon,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10
FR100003_CHAINE_c64,FR100003,c64,1,SN∅,autre,SN∅,,,,,,,,,
FR100003_CHAINE_c65,FR100003,c65,1,SNdef,Suj,SNdef,,,,,,,,,
FR100003_CHAINE_c66,FR100003,c66,1,SNind,Obl,SNind,,,,,,,,,
FR100003_CHAINE_c68,FR100003,c68,1,SNdef,Obl,SNdef,,,,,,,,,
FR100003_CHAINE_c67,FR100003,c67,1,SNdef,Obl,SNdef,,,,,,,,,
FR100003_CHAINE_c69,FR100003,c69,1,SNind,Suj,SNind,,,,,,,,,
FR100003_CHAINE_c71,FR100003,c71,1,SNdef,Obl,SNdef,,,,,,,,,
FR100003_CHAINE_c70,FR100003,c70,1,SNdef,OD,SNdef,,,,,,,,,
FR100003_CHAINE_c72,FR100003,c72,1,SNdef,autre,SNdef,,,,,,,,,
FR100003_CHAINE_c73,FR100003,c73,1,SNind,Obl,SNind,,,,,,,,,
FR100003_CHAINE_c74,FR100003,c74,1,SNdef,autre,SNdef,,,,,,,,,
FR100003_CHAINE_c76,FR100003,c76,1,SNdef,autre,SNdef,,,,,,,,,
FR100003_CHAINE_c75,FR100003,c75,1,SNdef,Suj,SNdef,,,,,,,,,
FR100003_CHAINE_c78,FR100003,c78,1,SNdef,autre,SNdef,,,,,,,,,
FR100003_CHAINE_c77,FR100003,c77,1,SNind,Suj,SNind,,,,,,,,,
FR100003_CHAINE_c79,FR100003,c79,1,SNind,OD,SNind,,,,,,,,,
FR100003_CHAINE_c80,FR100003,c80,1,SNdef,Suj,SNdef,,,,,,,,,
FR100003_CHAINE_c81,FR100003,c81,1,SNind,OD,SNind,,,,,,,,,
FR100003_CHAINE_c83,FR100003,c83,1,SNdef,autre,SNdef,,,,,,,,,
FR100003_CHAINE_c82,FR100003,c82,1,SNdef,Obl,SNdef,,,,,,,,,
FR100078_CHAINE_c1,FR100078,c1,4,SN∅,Suj,SN∅,SNdef,Pro,SNdef,,,,,,
FR100078_CHAINE_c2,FR100078,c2,2,Np,autre,Np,SNdef,,,,,,,,
FR100078_CHAINE_c3,FR100078,c3,1,SNdef,Obl,SNdef,,,,,,,,,
FR100078_CHAINE_c4,FR100078,c4,1,SNdef,Suj,SNdef,,,,,,,,,
FR100078_CHAINE_c6,FR100078,c6,1,SNind,autre,SNind,,,,,,,,,
FR100078_CHAINE_c7,FR100078,c7,1,SNdef,autre,SNdef,,,,,,,,,
FR100078_CHAINE_c8,FR100078,c8,1,SNdef,autre,SNdef,,,,,,,,,
FR100078_CHAINE_c10,FR100078,c10,1,SNdef,autre,SNdef,,,,,,,,,
FR100078_CHAINE_c9,FR100078,c9,1,SNind,autre,SNind,,,,,,,,,
FR100078_CHAINE_c11,FR100078,c11,1,Np,autre,Np,,,,,,,,,
FR100078_CHAINE_c5,FR100078,c5,1,SNdef,Obl,SNdef,,,,,,,,,
FR100078_CHAINE_c12,FR100078,c12,1,SNdef,Obl,SNdef,,,,,,,,,
FR100078_CHAINE_c13,FR100078,c13,2,SN∅,Obl,SN∅,SNdef,,,,,,,,
FR100078_CHAINE_c14,FR100078,c14,1,SN∅,autre,SN∅,,,,,,,,,
FR100078_CHAINE_c16,FR100078,c16,1,SN∅,autre,SN∅,,,,,,,,,
FR100078_CHAINE_c15,FR100078,c15,1,SN∅,autre,SN∅,,,,,,,,,
FR100078_CHAINE_c17,FR100078,c17,1,SNnum,autre,SNnum,,,,,,,,,
FR100078_CHAINE_c19,FR100078,c19,2,SNdef,autre,SNdef,SNdef,,,,,,,,
FR100078_CHAINE_c18,FR100078,c18,6,SNdef,OD,SNdef,SNdef,SNdef,SNdef,SN∅,SNdef,,,,
FR100078_CHAINE_c21,FR100078,c21,1,SNind,Obl,SNind,,,,,,,,,
FR100078_CHAINE_c20,FR100078,c20,2,SNdef,OD,SNdef,SNdem,,,,,,,,
FR100078_CHAINE_c22,FR100078,c22,1,Pro,Obl,Pro,,,,,,,,,
FR100078_CHAINE_c23,FR100078,c23,2,SNdef,Suj,SNdef,SNdef,,,,,,,,
FR100078_CHAINE_c24,FR100078,c24,1,SNind,Obl,SNind,,,,,,,,,
FR100078_CHAINE_c26,FR100078,c26,1,SN∅,autre,SN∅,,,,,,,,,
FR100078_CHAINE_c25,FR100078,c25,1,SN∅,Obl,SN∅,,,,,,,,,
FR100078_CHAINE_c27,FR100078,c27,1,SN∅,autre,SN∅,,,,,,,,,
FR100078_CHAINE_c28,FR100078,c28,1,SNdef,Suj,SNdef,,,,,,,,,
FR100078_CHAINE_c29,FR100078,c29,1,SNdef,autre,SNdef,,,,,,,,,
FR100078_CHAINE_c31,FR100078,c31,1,SN∅,autre,SN∅,,,,,,,,,
FR100078_CHAINE_c32,FR100078,c32,1,SNdef,Obl,SNdef,,,,,,,,,
FR100078_CHAINE_c30,FR100078,c30,1,SN∅,OD,SN∅,,,,,,,,,
FR100078_CHAINE_c33,FR100078,c33,1,SNdef,Suj,SNdef,,,,,,,,,
FR100078_CHAINE_c35,FR100078,c35,1,SNdef,autre,SNdef,,,,,,,,,
FR100078_CHAINE_c34,FR100078,c34,1,SNdef,Suj,SNdef,,,,,,,,,
FR100078_CHAINE_c37,FR100078,c37,1,SN∅,autre,SN∅,,,,,,,,,
FR100078_CHAINE_c38,FR100078,c38,1,SN∅,autre,SN∅,,,,,,,,,
FR100078_CHAINE_c36,FR100078,c36,1,SNind,OD,SNind,,,,,,,,,
FR100078_CHAINE_c39,FR100078,c39,1,SNdef,Suj,SNdef,,,,,,,,,
FR100078_CHAINE_c41,FR100078,c41,1,SN∅,autre,SN∅,,,,,,,,,
FR100078_CHAINE_c40,FR100078,c40,1,SNind,OD,SNind,,,,,,,,,
FR100078_CHAINE_c43,FR100078,c43,1,SN∅,autre,SN∅,,,,,,,,,
FR100078_CHAINE_c42,FR100078,c42,1,SNdef,Suj,SNdef,,,,,,,,,
FR100078_CHAINE_c46,FR100078,c46,1,SNdef,autre,SNdef,,,,,,,,,
FR100078_CHAINE_c45,FR100078,c45,1,SNdef,Obl,SNdef,,,,,,,,,
FR100078_CHAINE_c48,FR100078,c48,1,SN∅,autre,SN∅,,,,,,,,,
FR100078_CHAINE_c47,FR100078,c47,1,SNdef,OD,SNdef,,,,,,,,,
FR100078_CHAINE_c49,FR100078,c49,1,SNdef,autre,SNdef,,,,,,,,,
FR100078_CHAINE_c51,FR100078,c51,1,SNdef,autre,SNdef,,,,,,,,,
FR100078_CHAINE_c50,FR100078,c50,1,SNind,autre,SNind,,,,,,,,,
FR100078_CHAINE_c44,FR100078,c44,1,Sujet_zero,autre,Sujet_zero,,,,,,,,,
FR100078_CHAINE_c53,FR100078,c53,2,SN∅,autre,SN∅,SNdem,,,,,,,,
FR100078_CHAINE_c52,FR100078,c52,1,SNind,OD,SNind,,,,,,,,,
FR100078_CHAINE_c55,FR100078,c55,1,SNdef,autre,SNdef,,,,,,,,,
FR100078_CHAINE_c54,FR100078,c54,1,SNdef,OD,SNdef,,,,,,,,,
FR100078_CHAINE_c56,FR100078,c56,1,SNdef,Suj,SNdef,,,,,,,,,
FR100078_CHAINE_c57,FR100078,c57,1,Autre,autre,Autre,,,,,,,,,
FR100078_CHAINE_c58,FR100078,c58,1,SNdef,Suj,SNdef,,,,,,,,,
FR100078_CHAINE_c59,FR100078,c59,1,SNind,Obl,SNind,,,,,,,,,
FR100078_CHAINE_c60,FR100078,c60,1,SN∅,autre,SN∅,,,,,,,,,
FR100078_CHAINE_c61,FR100078,c61,1,SN∅,autre,SN∅,,,,,,,,,
FR100078_CHAINE_c62,FR100078,c62,1,SN∅,autre,SN∅,,,,,,,,,
FR100078_CHAINE_c63,FR100078,c63,1,SNdef,autre,SNdef,,,,,,,,,
FR100078_CHAINE_c64,FR100078,c64,1,SNind,autre,SNind,,,,,,,,,
FR100078_CHAINE_c65,FR100078,c65,1,SNind,autre,SNind,,,,,,,,,
FR100078_CHAINE_c66,FR100078,c66,1,SNind,OD,SNind,,,,,,,,,
FR100078_CHAINE_c67,FR100078,c67,1,SNdef,Obl,SNdef,,,,,,,,,
FR100078_CHAINE_c68,FR100078,c68,1,SNdef,autre,SNdef,,,,,,,,,
FR100078_CHAINE_c71,FR100078,c71,1,SNdef,autre,SNdef,,,,,,,,,
FR100078_CHAINE_c70,FR100078,c70,1,SNdef,autre,SNdef,,,,,,,,,
FR100078_CHAINE_c69,FR100078,c69,1,SNdef,autre,SNdef,,,,,,,,,
FR100078_CHAINE_c72,FR100078,c72,1,SNdef,Suj,SNdef,,,,,,,,,
FR100078_CHAINE_c73,FR100078,c73,1,SNdef,Obl,SNdef,,,,,,,,,
FR100078_CHAINE_c74,FR100078,c74,1,SNdef,autre,SNdef,,,,,,,,,
FR100092_CHAINE_c1,FR100092,c1,3,SN∅,Obl,SN∅,SNdef,SNdef,,,,,,,
FR100092_CHAINE_c2,FR100092,c2,1,SNnum,Obl,SNnum,,,,,,,,,
FR100092_CHAINE_c3,FR100092,c3,1,SNnum,Obl,SNnum,,,,,,,,,
FR100092_CHAINE_c5,FR100092,c5,1,Poss,autre,Poss,,,,,,,,,
FR100092_CHAINE_c4,FR100092,c4,1,Poss,Obl,Poss,,,,,,,,,
FR100092_CHAINE_c8,FR100092,c8,1,SNdef,autre,SNdef,,,,,,,,,
FR100092_CHAINE_c7,FR100092,c7,1,SNind,autre,SNind,,,,,,,,,
FR100092_CHAINE_c9,FR100092,c9,1,SNnum,Obl,SNnum,,,,,,,,,
FR100092_CHAINE_c12,FR100092,c12,1,SNnum,autre,SNnum,,,,,,,,,
FR100092_CHAINE_c11,FR100092,c11,1,SN∅,autre,SN∅,,,,,,,,,
FR100092_CHAINE_c10,FR100092,c10,1,SNdef,Obl,SNdef,,,,,,,,,
FR100092_CHAINE_c6,FR100092,c6,1,SN∅,Obl,SN∅,,,,,,,,,
FR100092_CHAINE_c14,FR100092,c14,1,SNdef,autre,SNdef,,,,,,,,,
FR100092_CHAINE_c13,FR100092,c13,1,SNdef,Suj,SNdef,,,,,,,,,
FR100092_CHAINE_c15,FR100092,c15,1,SNind,OD,SNind,,,,,,,,,
FR100092_CHAINE_c16,FR100092,c16,1,SNdef,autre,SNdef,,,,,,,,,
FR100092_CHAINE_c17,FR100092,c17,1,SNind,Obl,SNind,,,,,,,,,
FR100092_CHAINE_c19,FR100092,c19,1,SNnum,autre,SNnum,,,,,,,,,
FR100092_CHAINE_c18,FR100092,c18,1,SNind,autre,SNind,,,,,,,,,
FR100092_CHAINE_c20,FR100092,c20,1,SN∅,autre,SN∅,,,,,,,,,
FR100092_CHAINE_c21,FR100092,c21,1,SNdef,Suj,SNdef,,,,,,,,,
FR100092_CHAINE_c22,FR100092,c22,1,SNind,OD,SNind,,,,,,,,,
FR100092_CHAINE_c23,FR100092,c23,1,SNdef,Suj,SNdef,,,,,,,,,
FR100092_CHAINE_c24,FR100092,c24,1,SNind,OD,SNind,,,,,,,,,
FR100092_CHAINE_c26,FR100092,c26,1,SNdef,Obl,SNdef,,,,,,,,,
FR100092_CHAINE_c25,FR100092,c25,1,SNind,autre,SNind,,,,,,,,,
FR100092_CHAINE_c28,FR100092,c28,1,SN∅,autre,SN∅,,,,,,,,,
FR100092_CHAINE_c30,FR100092,c30,1,SN∅,autre,SN∅,,,,,,,,,
FR100092_CHAINE_c29,FR100092,c29,1,SNind,autre,SNind,,,,,,,,,
FR100092_CHAINE_c27,FR100092,c27,2,SNind,autre,SNind,SNdef,,,,,,,,
FR100092_CHAINE_c31,FR100092,c31,1,SNdef,autre,SNdef,,,,,,,,,
FR100092_CHAINE_c32,FR100092,c32,1,SN∅,autre,SN∅,,,,,,,,,
FR100092_CHAINE_c33,FR100092,c33,2,SNind,Obl,SNind,Pro,,,,,,,,
FR100092_CHAINE_c34,FR100092,c34,1,SNdef,Obl,SNdef,,,,,,,,,
FR100092_CHAINE_c36,FR100092,c36,2,SNind,autre,SNind,SNdef,,,,,,,,
FR100092_CHAINE_c37,FR100092,c37,1,SNnum,OD,SNnum,,,,,,,,,
FR100092_CHAINE_c35,FR100092,c35,1,SN∅,autre,SN∅,,,,,,,,,
FR100092_CHAINE_c38,FR100092,c38,1,SNdef,Suj,SNdef,,,,,,,,,
FR100092_CHAINE_c39,FR100092,c39,1,SNind,autre,SNind,,,,,,,,,
FR100092_CHAINE_c40,FR100092,c40,1,SNind,Suj,SNind,,,,,,,,,
FR100092_CHAINE_c42,FR100092,c42,2,SN∅,autre,SN∅,SN∅,,,,,,,,
FR100092_CHAINE_c41,FR100092,c41,1,SNdef,Suj,SNdef,,,,,,,,,
FR100092_CHAINE_c43,FR100092,c43,1,SNnum,Obl,SNnum,,,,,,,,,
FR100092_CHAINE_c44,FR100092,c44,1,SNdef,Suj,SNdef,,,,,,,,,
FR100092_CHAINE_c46,FR100092,c46,1,SN∅,autre,SN∅,,,,,,,,,
FR100092_CHAINE_c45,FR100092,c45,1,SNdef,OD,SNdef,,,,,,,,,
FR100092_CHAINE_c48,FR100092,c48,1,SNdef,autre,SNdef,,,,,,,,,
FR100092_CHAINE_c47,FR100092,c47,1,SNdef,Suj,SNdef,,,,,,,,,
FR100092_CHAINE_c50,FR100092,c50,1,SNnum,autre,SNnum,,,,,,,,,
FR100092_CHAINE_c51,FR100092,c51,1,SNdef,autre,SNdef,,,,,,,,,
FR100092_CHAINE_c52,FR100092,c52,1,Autre,autre,Autre,,,,,,,,,
FR100092_CHAINE_c49,FR100092,c49,1,SNind,OD,SNind,,,,,,,,,
FR100092_CHAINE_c53,FR100092,c53,1,SNind,Obl,SNind,,,,,,,,,
FR100092_CHAINE_c54,FR100092,c54,2,SNdef,autre,SNdef,SNdef,,,,,,,,
FR100092_CHAINE_c56,FR100092,c56,1,SNind,autre,SNind,,,,,,,,,
FR100092_CHAINE_c58,FR100092,c58,1,SNind,autre,SNind,,,,,,,,,
FR100092_CHAINE_c57,FR100092,c57,1,SN∅,autre,SN∅,,,,,,,,,
FR100092_CHAINE_c59,FR100092,c59,1,SN∅,autre,SN∅,,,,,,,,,
FR100092_CHAINE_c55,FR100092,c55,1,SN∅,autre,SN∅,,,,,,,,,
FR100092_CHAINE_c61,FR100092,c61,1,SNind,OD,SNind,,,,,,,,,
FR100092_CHAINE_c60,FR100092,c60,1,SNdef,Obl,SNdef,,,,,,,,,
FR100092_CHAINE_c62,FR100092,c62,1,SNdef,Suj,SNdef,,,,,,,,,
FR100092_CHAINE_c63,FR100092,c63,1,SNdef,OD,SNdef,,,,,,,,,
FR100092_CHAINE_c64,FR100092,c64,1,SNind,Obl,SNind,,,,,,,,,
FR100092_CHAINE_c65,FR100092,c65,1,SNind,Suj,SNind,,,,,,,,,
FR100092_CHAINE_c66,FR100092,c66,1,SNdef,Suj,SNdef,,,,,,,,,
FR100092_CHAINE_c67,FR100092,c67,1,SNind,OD,SNind,,,,,,,,,
FR100092_CHAINE_c69,FR100092,c69,1,SN∅,Obl,SN∅,,,,,,,,,
FR100092_CHAINE_c68,FR100092,c68,1,SNind,autre,SNind,,,,,,,,,
FR100092_CHAINE_c70,FR100092,c70,1,SNdef,Suj,SNdef,,,,,,,,,
FR100092_CHAINE_c71,FR100092,c71,1,SN∅,autre,SN∅,,,,,,,,,
FR100092_CHAINE_c72,FR100092,c72,1,Autre,Obl,Autre,,,,,,,,,
FR100120_CHAINE_c2,FR100120,c2,1,SNnum,Obl,SNnum,,,,,,,,,
FR100120_CHAINE_c1,FR100120,c1,5,SNind,Obl,SNind,Poss,SNdem,Pro,Poss,,,,,
FR100120_CHAINE_c3,FR100120,c3,1,SNdef,autre,SNdef,,,,,,,,,
FR100120_CHAINE_c4,FR100120,c4,2,SN∅,autre,SN∅,SN∅,,,,,,,,
FR100120_CHAINE_c5,FR100120,c5,1,SNdef,Obl,SNdef,,,,,,,,,
FR100120_CHAINE_c6,FR100120,c6,1,Poss,Obl,Poss,,,,,,,,,
FR100120_CHAINE_c9,FR100120,c9,1,SN∅,Obl,SN∅,,,,,,,,,
FR100120_CHAINE_c10,FR100120,c10,1,SNnum,Obl,SNnum,,,,,,,,,
FR100120_CHAINE_c8,FR100120,c8,3,SNind,OD,SNind,SN∅,Poss,,,,,,,
FR100120_CHAINE_c11,FR100120,c11,1,SNind,autre,SNind,,,,,,,,,
FR100120_CHAINE_c12,FR100120,c12,1,SN∅,Suj,SN∅,,,,,,,,,
FR100120_CHAINE_c13,FR100120,c13,1,SNnum,OD,SNnum,,,,,,,,,
FR100120_CHAINE_c14,FR100120,c14,1,SNind,Obl,SNind,,,,,,,,,
FR100120_CHAINE_c7,FR100120,c7,1,SNind,OD,SNind,,,,,,,,,
FR100120_CHAINE_c15,FR100120,c15,1,SN∅,Obl,SN∅,,,,,,,,,
FR100120_CHAINE_c16,FR100120,c16,1,SNnum,Obl,SNnum,,,,,,,,,
FR100120_CHAINE_c17,FR100120,c17,1,SNind,Obl,SNind,,,,,,,,,
FR100120_CHAINE_c18,FR100120,c18,1,Np,autre,Np,,,,,,,,,
FR100120_CHAINE_c19,FR100120,c19,1,SNind,Obl,SNind,,,,,,,,,
FR100120_CHAINE_c20,FR100120,c20,1,SNdef,Obl,SNdef,,,,,,,,,
FR100120_CHAINE_c22,FR100120,c22,1,SNnum,Obl,SNnum,,,,,,,,,
FR100120_CHAINE_c24,FR100120,c24,1,SNdef,autre,SNdef,,,,,,,,,
FR100120_CHAINE_c25,FR100120,c25,1,SNdef,autre,SNdef,,,,,,,,,
FR100120_CHAINE_c23,FR100120,c23,1,SNdef,Obl,SNdef,,,,,,,,,
FR100120_CHAINE_c21,FR100120,c21,5,SNnum,Obl,SNnum,SNnum,SNdef,SNind,SNdef,,,,,
FR100120_CHAINE_c26,FR100120,c26,2,SNdef,Suj,SNdef,SNdef,,,,,,,,
FR100120_CHAINE_c27,FR100120,c27,1,SNnum,autre,SNnum,,,,,,,,,
FR100120_CHAINE_c28,FR100120,c28,2,SNind,Obl,SNind,SNind,,,,,,,,
FR100120_CHAINE_c29,FR100120,c29,2,SNdef,OD,SNdef,SN∅,,,,,,,,
FR100120_CHAINE_c30,FR100120,c30,1,SNind,Obl,SNind,,,,,,,,,
FR100120_CHAINE_c31,FR100120,c31,1,SN∅,autre,SN∅,,,,,,,,,
FR100120_CHAINE_c32,FR100120,c32,1,SNdef,Suj,SNdef,,,,,,,,,
FR100120_CHAINE_c33,FR100120,c33,1,SN∅,autre,SN∅,,,,,,,,,
FR100120_CHAINE_c34,FR100120,c34,1,SNdef,Suj,SNdef,,,,,,,,,
FR100120_CHAINE_c35,FR100120,c35,1,SN∅,OD,SN∅,,,,,,,,,
FR100120_CHAINE_c36,FR100120,c36,1,SNdef,Obl,SNdef,,,,,,,,,
FR100120_CHAINE_c38,FR100120,c38,1,SN∅,autre,SN∅,,,,,,,,,
FR100120_CHAINE_c40,FR100120,c40,1,SNnum,autre,SNnum,,,,,,,,,
FR100120_CHAINE_c39,FR100120,c39,1,SNdef,autre,SNdef,,,,,,,,,
FR100120_CHAINE_c41,FR100120,c41,1,SN∅,autre,SN∅,,,,,,,,,
FR100120_CHAINE_c42,FR100120,c42,1,SNnum,autre,SNnum,,,,,,,,,
FR100120_CHAINE_c43,FR100120,c43,1,SN∅,autre,SN∅,,,,,,,,,
FR100120_CHAINE_c44,FR100120,c44,1,SNdef,autre,SNdef,,,,,,,,,
FR100120_CHAINE_c37,FR100120,c37,1,SNind,Suj,SNind,,,,,,,,,
FR100120_CHAINE_c45,FR100120,c45,1,SNdef,Suj,SNdef,,,,,,,,,
FR100120_CHAINE_c46,FR100120,c46,1,SN∅,autre,SN∅,,,,,,,,,
FR100120_CHAINE_c47,FR100120,c47,3,SNind,Obl,SNind,SN∅,SNdef,,,,,,,
FR100120_CHAINE_c48,FR100120,c48,1,SN∅,autre,SN∅,,,,,,,,,
FR100120_CHAINE_c50,FR100120,c50,1,SN∅,autre,SN∅,,,,,,,,,
FR100120_CHAINE_c49,FR100120,c49,1,SNnum,Obl,SNnum,,,,,,,,,
FR100120_CHAINE_c52,FR100120,c52,1,SN∅,autre,SN∅,,,,,,,,,
FR100120_CHAINE_c51,FR100120,c51,5,SNnum,Suj,SNnum,SNdem,Pro,SNdef,SNdef,,,,,
FR100120_CHAINE_c53,FR100120,c53,1,SNind,autre,SNind,,,,,,,,,
FR100120_CHAINE_c55,FR100120,c55,1,SNind,autre,SNind,,,,,,,,,
FR100120_CHAINE_c54,FR100120,c54,1,SNdef,Obl,SNdef,,,,,,,,,
FR100120_CHAINE_c56,FR100120,c56,1,SNdef,Suj,SNdef,,,,,,,,,
FR100120_CHAINE_c58,FR100120,c58,1,SNdef,autre,SNdef,,,,,,,,,
FR100120_CHAINE_c57,FR100120,c57,1,SNdef,autre,SNdef,,,,,,,,,
FR100120_CHAINE_c60,FR100120,c60,1,SN∅,autre,SN∅,,,,,,,,,
FR100120_CHAINE_c59,FR100120,c59,1,SNdef,autre,SNdef,,,,,,,,,
FR100120_CHAINE_c61,FR100120,c61,1,SNdef,Obl,SNdef,,,,,,,,,
FR100120_CHAINE_c63,FR100120,c63,1,SN∅,autre,SN∅,,,,,,,,,
FR100120_CHAINE_c62,FR100120,c62,1,SNdef,Obl,SNdef,,,,,,,,,
FR100120_CHAINE_c64,FR100120,c64,1,Np,Obl,Np,,,,,,,,,
FR100130_CHAINE_c2,FR100130,c2,1,SNnum,Obl,SNnum,,,,,,,,,
FR100130_CHAINE_c3,FR100130,c3,1,SN∅,autre,SN∅,,,,,,,,,
FR100130_CHAINE_c4,FR100130,c4,1,Poss,Obl,Poss,,,,,,,,,
FR100130_CHAINE_c5,FR100130,c5,1,Autre,Obl,Autre,,,,,,,,,
FR100130_CHAINE_c8,FR100130,c8,1,SNdef,Obl,SNdef,,,,,,,,,
